no_keluarga,jumlah_indikator,kecamatan,kelurahan,ind_1,ind_2,ind_3,ind_4,ind_5,ind_6,ind_7,ind_8,jenis_kelamin,status_kawin,umur,ijazah_tertinggi,status_pekerjaan,jenis_lantai,jenis_dinding,jenis_atap,sumber_penerangan,daya_listrik,fasilitas_bab,sumber_air,bahan_bakar,bantuan_sembako,bantuan_pkh,bantuan_blt,subsidi_listrik,subsidi_lpg,bantuan_pemda,bantuan_non_pemerintah,jenis_disabilitas,butuh_pangan,butuh_sandang,butuh_kesehatan,butuh_pendidikan,butuh_dokumen,status_keluarga
36,1,bontang_selatan,tanjung_laut_indah,Tidak,Tidak,Memenuhi Kriteria,Tidak,Tidak,Tidak,Tidak,Tidak,1,1,19,3,,5,3,3,1,2,1,02,04,2,2,2,2,1,2,2,0,2,2,0,0,0,4
36,1,bontang_selatan,tanjung_laut_indah,Tidak,Tidak,Memenuhi Kriteria,Tidak,Tidak,Tidak,Tidak,Tidak,2,1,6,,,5,3,3,1,2,1,02,04,2,2,2,2,1,2,2,0,2,2,0,0,0,4
36,1,bontang_selatan,tanjung_laut_indah,Tidak,Tidak,Memenuhi Kriteria,Tidak,Tidak,Tidak,Tidak,Tidak,1,2,51,3,4,5,3,3,1,2,1,02,04,2,2,2,2,1,2,2,0,2,2,0,0,0,4
37,1,bontang_utara,lok tuan,Tidak,Memenuhi Kriteria,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,1,2,55,1,1,5,3,3,1,3,1,02,04,1,2,2,2,2,2,2,0,1,2,0,0,0,4
37,0,bontang_utara,lok tuan,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,2,2,48,1,,5,3,3,1,3,1,02,04,1,2,2,2,2,2,2,0,1,2,0,0,0,4
37,0,bontang_utara,lok tuan,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,1,1,28,3,4,5,3,3,1,3,1,02,04,1,2,2,2,2,2,2,0,2,2,0,0,0,4
38,4,bontang_barat,gunung_telihan,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,Tidak,1,2,47,3,3,6,1,3,1,3,1,02,04,2,2,2,2,2,2,1,0,1,2,1,0,0,3
38,4,bontang_barat,gunung_telihan,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,Tidak,2,2,39,3,1,6,1,3,1,3,1,02,04,2,2,2,2,2,2,1,0,1,2,1,0,0,3
38,4,bontang_barat,gunung_telihan,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,Tidak,1,1,15,,,6,1,3,1,3,1,02,04,2,2,2,2,2,2,1,0,1,2,1,"1,4",0,3
38,4,bontang_barat,gunung_telihan,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,Tidak,2,1,21,,,6,1,3,1,3,1,02,04,2,2,2,2,2,2,1,0,1,2,1,4,0,3
